date,spread_10y_2y_ma3,spread_10y_3m_ma3,cpi_yoy_pct_ma3,indpro_yoy_pct_ma3,unrate_chg_3m_ma3,UNRATE,recession_next_6m
1996-11-30,0.5736714513556626,1.346388357256779,3.1065172872591393,5.3258076033988955,-0.03333333333333292,5.4,0
1996-12-31,0.5478301815143922,1.2355232778916994,3.231265700211187,5.730088095338264,0.06666666666666703,5.4,0
1997-01-31,0.5311779448621552,1.236482873851295,3.2233487273584096,6.322530306089939,0.20000000000000018,5.3,0
1997-02-28,0.5374937343358391,1.3175355054302422,3.1497379368924157,6.59116661889609,0.033333333333333215,5.2,0
1997-03-31,0.5215016708437759,1.3669005847953217,2.945223236223074,7.026043069662832,-0.10000000000000024,5.2,0
1997-04-30,0.4769417862838911,1.4227591706539073,2.7439561132993986,6.889417317126811,-0.20000000000000018,5.1,0
1997-05-31,0.4480194805194803,1.5017316017316018,2.479153979262053,6.779377737441968,-0.2333333333333334,4.9,0
1997-06-30,0.4235353535353535,1.5060173160173163,2.3019186506632923,6.293396842569262,-0.2333333333333334,5.0,0
1997-07-31,0.387626262626263,1.3210173160173164,2.2123413613487717,6.415164048951347,-0.2333333333333331,4.9,0
1997-08-31,0.362705627705628,1.155937950937951,2.2297495858400347,6.778325797370193,-0.16666666666666666,4.8,0
1997-09-30,0.3385786435786435,1.056255411255411,2.2250284543116057,7.3511396500662896,-0.13333333333333316,4.9,0
1997-10-31,0.31463924963924966,1.0198917748917748,2.198482465869444,7.935260477323118,-0.13333333333333344,4.7,0
1997-11-30,0.2488720538720539,0.8781721981721979,2.0652434099908055,8.299077145157716,-0.16666666666666666,4.6,0
1997-12-31,0.17119528619528643,0.6715993265993264,1.891124060516428,8.482472692122451,-0.20000000000000018,4.7,0
1998-01-31,0.1477861952861955,0.4878265993265991,1.7395072463042573,8.459018779523896,-0.16666666666666696,4.6,0
1998-02-28,0.14599282296650737,0.4047759170653906,1.5894543154584193,8.11352515928069,-0.10000000000000024,4.6,0
1998-03-31,0.14341706539074975,0.39856379585326945,1.482679321469748,7.631853309653743,-0.03333333333333351,4.7,0
1998-04-30,0.10536150983519417,0.461651097440571,1.4184400920684768,7.129697925065522,-0.09999999999999994,4.3,0
1998-05-31,0.07274747474747449,0.5175721500721501,1.5012250825309728,7.033983484369021,-0.16666666666666638,4.4,0
1998-06-30,0.036232323232323026,0.4798448773448773,1.5833085441197208,6.7748610810578525,-0.2333333333333331,4.5,0
1998-07-31,0.012848484848484887,0.4171969696969698,1.6857208477363341,6.001148814136873,-0.06666666666666643,4.5,0
1998-08-31,0.01762626262626288,0.34668109668109687,1.6618408730008818,5.559987254988701,0.033333333333333215,4.5,0
1998-09-30,0.07233044733044765,0.24512987012987045,1.5964501135180622,5.156741003087654,0.13333333333333316,4.6,0
1998-10-31,0.2173015873015872,0.276031746031746,1.509927513928288,5.1173820025230485,0.06666666666666643,4.5,0
1998-11-30,0.2886466165413533,0.27448621553884706,1.4656990581859721,4.40937229235416,0.0,4.4,0
1998-12-31,0.2880333409280773,0.30134047239310363,1.5257400977317717,4.049617889500612,-0.09999999999999964,4.4,0
1999-01-31,0.1776156299840507,0.24009569377990422,1.5859396161356225,3.758047696799968,-0.16666666666666638,4.3,0
1999-02-28,0.12270334928229627,0.2892185007974482,1.646751819804966,3.9193519589025656,-0.13333333333333316,4.4,0
1999-03-31,0.13634630053394345,0.4618535469107554,1.6872427983539044,4.137869357671934,-0.13333333333333344,4.2,0
1999-04-30,0.16997468968864857,0.6284085708342003,1.8920653767893123,4.319259623596098,-0.06666666666666672,4.3,0
1999-05-31,0.22409749670619217,0.7833471673254279,2.0335167913034575,4.337260513750699,-0.13333333333333344,4.2,0
1999-06-30,0.2578787878787878,0.9560151515151514,2.1125857592613126,4.4710249228407015,-0.03333333333333351,4.3,0
1999-07-31,0.26768398268398236,1.0662604617604616,2.067076906316104,4.981932859818728,-0.03333333333333351,4.3,0
1999-08-31,0.25965367965367925,1.1185786435786433,2.1248638978947088,4.92531389062233,0.033333333333333215,4.2,0
1999-09-30,0.25046176046175983,1.0881673881673881,2.346319715680807,4.564659774847942,-0.033333333333333215,4.2,0
1999-10-31,0.2545808080808077,1.0839372294372291,2.485629812304364,4.0511684131567245,-0.09999999999999994,4.1,0
1999-11-30,0.2249444444444443,0.9976190476190476,2.6042869983302475,4.309520739397088,-0.13333333333333344,4.1,0
1999-12-31,0.19746969696969666,0.9395454545454545,2.619763534264829,4.800341021383125,-0.16666666666666696,4.0,0
2000-01-31,0.18796969696969631,0.9623787878787876,2.6965697870347043,4.907491261776983,-0.13333333333333344,4.0,0
2000-02-29,0.10030303030302938,0.9577121212121206,2.895775996170879,4.717069306186091,-0.09999999999999994,4.1,0
2000-03-31,-0.047246376811594715,0.7823695652173907,3.257688294692913,4.460527965801242,-0.033333333333333215,4.0,0
2000-04-30,-0.2586323417238751,0.45135202135774194,3.331323922039541,4.529551897898998,-0.06666666666666672,3.8,0
2000-05-31,-0.35132931142084445,0.33582171832743946,3.3028432720564838,4.575596359058654,-0.09999999999999994,4.0,0
2000-06-30,-0.38893141945773496,0.28343700159489654,3.2937778842918295,4.617927221221899,-0.09999999999999994,4.0,0
2000-07-31,-0.346212121212121,0.19762121212121228,3.4889166744964144,4.265201136164617,0.03333333333333351,4.0,0
2000-08-31,-0.35738471673254235,-0.101449934123847,3.5618355192350344,3.8058523463111786,0.09999999999999994,4.1,0
2000-09-30,-0.32336956521739096,-0.3052681159420286,3.469020875678685,3.604026046426101,0.06666666666666658,3.9,0
2000-10-31,-0.28630607315389894,-0.4611649413388541,3.4193698897545155,3.1188160113716905,-0.03333333333333351,3.9,0
2000-11-30,-0.2048015873015876,-0.5237460317460313,3.4503345123770317,2.7107177382520926,-0.1333333333333333,3.9,1
2000-12-31,-0.14780158730158752,-0.6305793650793646,3.4435088887033203,1.634372726296766,-0.09999999999999994,3.9,1
2001-01-31,0.04378571428571417,-0.4866111111111107,3.533801480505956,0.9955162522524746,0.03333333333333351,4.2,1
2001-02-28,0.2438525480367586,-0.24236716791979931,3.562211894552813,0.19019166485709058,0.20000000000000018,4.2,1
2001-03-31,0.4620798207640311,0.106466165413534,3.411024288887783,-0.43049751600027575,0.3333333333333335,4.3,1
2001-04-30,0.6307623604465707,0.5395614035087721,3.2433747317616533,-1.2497867445245168,0.3000000000000001,4.4,1
2001-05-31,0.8605151515151516,1.0710606060606063,3.254598847576202,-1.9912318008820022,0.23333333333333325,4.3,1
2001-06-30,1.0808831168831168,1.527409812409812,3.3251003044704768,-2.7312053497628628,0.16666666666666666,4.5,1
2001-07-31,1.177756132756133,1.6833621933621936,3.159508987499992,-3.302303047467984,0.16666666666666638,4.6,1
2001-08-31,1.2052726017943411,1.6317943409247757,2.8789750632223954,-3.5790852844419665,0.3333333333333333,4.9,1
